ticker
AAPL
ADBE
ADI
ADP
ADSK
AEP
ALGN
AMAT
AMD
AMGN
AMZN
ANSS
ASML
ATVI
AVGO
BIDU
BIIB
BKNG
CDNS
CERN
CHKP
CHTR
CMCSA
COST
CPRT
CSCO
CSX
CTAS
CTSH
DLTR
DXCM
EA
EBAY
EXC
FAST
FISV
GILD
GOOG
GOOGL
HON
IDXX
ILMN
INCY
INTC
INTU
ISRG
KDP
KLAC
LRCX
LULU
MAR
MCHP
MDLZ
MELI
MNST
MRVL
MSFT
MTCH
MU
NFLX
NTES
NVDA
NXPI
ORLY
PAYX
PCAR
PEP
QCOM
REGN
ROST
SBUX
SGEN
SIRI
SNPS
SWKS
TCOM
TMUS
TSLA
TXN
VRSK
VRSN
VRTX
WBA
XEL
XLNX
